date,flat_price,gold,ounce,usd,flat_price_usd,flat_price_gold,salary,salaries_m2,m2mgrow,m1
2006-09-30,5605.0,60.72,1882.32,3.1425,1783.6117740652346,2.9777083598962983,2611.16,2.1465555538534598,,253.3
2006-12-31,6186.0,59.32,1838.92,2.9105,2125.4080054973374,3.36393100298001,3027.51,2.043263275761269,0.10365744870651204,275.83
2007-03-31,7302.0,61.78,1915.18,2.9058,2512.905224034689,3.8126964567299155,2852.71,2.5596713300686016,0.18040737148399613,286.47
2007-06-30,7523.0,58.42,1811.02,2.7989,2687.841652077602,4.154012655851399,2893.71,2.5997767571733172,0.030265680635442344,295.88
2007-09-30,7879.0,62.89,1949.59,2.6647,2956.80564416257,4.041362542893634,2858.83,2.7560225686731985,0.04732154725508441,309.75
2007-12-31,8571.0,65.86,2041.66,2.435,3519.917864476386,4.198054524259671,3246,2.6404805914972274,0.08782840461987562,335.27
2008-03-31,8535.0,67.18,2082.5800000000004,2.2305,3826.4963012777403,4.098281938749051,3144.41,2.714340687124135,-0.004200210010500525,338
2008-06-30,8611.0,63.16,1957.9599999999998,2.1194,4062.9423421723127,4.397944799689473,3215.32,2.6781160195563736,0.008904510837727007,353.67
2008-09-30,8325.0,68.8,2132.7999999999997,2.3708,3511.4729205331532,3.903319579894974,3171.65,2.6248167357684484,-0.033213331784926255,355
2008-12-31,8149.0,81.29,2519.9900000000002,2.9618,2751.3674117090954,3.233742991043615,3419.82,2.382873952430245,-0.021141141141141143,349.94
2009-03-31,7543.0,106.76,3309.56,3.5416,2129.8283261802576,2.2791549329820278,3332.65,2.2633639896178717,-0.07436495275493926,356.86
2009-06-30,7461.0,96.51,2991.81,3.1733,2351.1801594554568,2.4938080961023594,3287.88,2.2692434030439066,-0.010871006230942596,370.62
2009-09-30,7585.235697,91.58,2838.98,2.8852,2629.015561139609,2.671817236120015,3283.18,2.3103319638277524,0.016651346602332136,372.83
2009-12-31,7679.589222,100.42,3113.02,2.8503,2694.309097989685,2.466925757624429,3652.4,2.102614506078195,0.012439102589431313,388.34
2010-03-31,8173.215445708,102.31,3171.61,2.872,2845.827105051532,2.576992582854764,3493.42,2.3396028664483515,0.06427768588115246,389.59
2010-06-30,7973.89213438384,135.57,4202.67,3.3946,2348.993146286408,1.8973395804057516,3403.65,2.342747384244514,-0.024387380052342818,415.24
2010-09-30,7940.206331142,122.87,3808.9700000000003,2.925,2714.600455091282,2.0846072116981755,3403.68,2.3328298580189677,-0.004224512029274319,419.21
2010-12-31,7440.55675933,135.48,4199.88,2.9641,2510.2246075807157,1.7716117506523996,3847.91,1.9336618474262652,-0.06292652243208616,449.33
2011-03-31,8037.0,129.59,4017.29,2.8229,2847.07215983563,2.000602396142673,3633.54,2.2118925345530807,0.0801611035252297,458.91
